Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-06-09-14:27:32.983101,0.675,-0.352,10.136,11.700,39.200,29.700,-1.117,2.836,0.078
2019-06-09-14:27:32.998748,0.648,-0.294,10.148,10.100,39.700,29.100,-0.523,2.648,-0.008
2019-06-09-14:27:33.014222,0.670,-0.287,10.074,11.400,39.100,29.800,-1.164,2.836,0.039
2019-06-09-14:27:33.029671,0.665,-0.330,10.100,11.100,38.400,28.800,-1.062,3.055,0.352
2019-06-09-14:27:33.045124,0.696,-0.359,10.131,10.000,38.800,29.400,-0.875,2.695,0.008
2019-06-09-14:27:33.060574,0.687,-0.335,10.124,11.300,39.400,28.800,-0.656,2.758,0.086
2019-06-09-14:27:33.076015,0.677,-0.325,10.110,11.000,38.900,30.700,-0.680,2.711,0.031
2019-06-09-14:27:33.091457,0.651,-0.323,10.076,12.000,38.700,29.000,-0.922,2.930,0.133
2019-06-09-14:27:33.106882,0.694,-0.328,10.105,11.000,38.900,28.700,-0.969,2.578,0.242
2019-06-09-14:27:33.122361,0.689,-0.321,10.095,11.700,38.600,28.300,-0.703,2.664,0.156
2019-06-09-14:27:33.137810,0.682,-0.349,10.129,12.000,38.400,31.100,-1.414,2.750,0.055
2019-06-09-14:27:33.153292,0.680,-0.345,10.138,11.500,39.900,30.900,-1.141,2.758,0.156
2019-06-09-14:27:33.168748,0.677,-0.301,10.119,10.600,38.700,30.400,-0.969,2.930,0.242
2019-06-09-14:27:33.184179,0.658,-0.306,10.035,11.100,39.000,30.300,-0.992,2.734,-0.047
2019-06-09-14:27:33.199636,0.665,-0.309,10.074,11.200,38.000,28.600,-1.023,2.578,0.086
2019-06-09-14:27:33.215089,0.684,-0.357,10.119,10.600,38.100,30.500,-0.477,2.797,-0.055
2019-06-09-14:27:33.230527,0.682,-0.345,10.134,10.400,38.300,30.100,-0.633,2.812,0.172
2019-06-09-14:27:33.245989,0.663,-0.313,10.076,10.300,39.000,29.600,-0.852,2.727,0.062
2019-06-09-14:27:33.261435,0.653,-0.287,10.059,11.100,38.100,28.400,-0.664,2.836,0.234
2019-06-09-14:27:33.276896,0.696,-0.371,10.129,10.900,38.900,29.300,-0.773,2.906,0.039
2019-06-09-14:27:33.294429,0.680,-0.361,10.148,11.500,38.100,28.500,-1.078,2.836,0.133
2019-06-09-14:27:33.310005,0.692,-0.366,10.162,11.300,39.200,29.800,-1.141,2.719,-0.023
2019-06-09-14:27:33.325490,0.656,-0.299,10.067,10.700,38.700,28.800,-1.000,3.055,0.062
2019-06-09-14:27:33.340940,0.653,-0.297,10.083,11.600,38.700,30.000,-0.656,3.055,-0.008
2019-06-09-14:27:33.356427,0.706,-0.366,10.138,10.900,38.800,30.100,-0.922,2.688,0.109
2019-06-09-14:27:33.371911,0.701,-0.373,10.165,11.100,38.300,29.000,-0.812,2.945,0.188
2019-06-09-14:27:33.387471,0.644,-0.304,10.052,10.900,39.000,28.700,-0.539,2.789,0.211
2019-06-09-14:27:33.406738,0.670,-0.278,10.069,11.200,38.700,29.000,-0.977,3.016,0.078
2019-06-09-14:27:33.426078,0.644,-0.270,10.062,10.600,39.000,30.100,-0.992,2.906,0.125
2019-06-09-14:27:33.445465,0.651,-0.275,10.031,11.600,39.200,30.400,-0.922,2.828,-0.008
2019-06-09-14:27:33.464972,0.646,-0.273,10.055,11.500,38.900,29.700,-0.711,2.711,0.328
2019-06-09-14:27:33.484375,0.625,-0.275,10.038,11.600,38.700,29.700,-1.023,2.703,0.125
2019-06-09-14:27:33.503808,0.656,-0.304,10.074,10.500,38.800,29.700,-0.969,2.586,0.211
2019-06-09-14:27:33.523170,0.639,-0.275,10.021,11.200,39.300,29.600,-1.078,2.758,0.305
2019-06-09-14:27:33.542525,0.701,-0.275,10.086,11.200,39.400,30.000,-1.047,2.906,0.219
2019-06-09-14:27:33.561877,0.689,-0.368,10.155,12.300,38.700,30.200,-0.781,2.766,-0.031
2019-06-09-14:27:33.581321,0.706,-0.376,10.122,11.100,38.200,29.000,-0.656,2.789,0.055
2019-06-09-14:27:33.600755,0.689,-0.371,10.146,11.200,39.100,30.000,-0.633,2.945,0.102
