20190523-083342,Acceleration (m/s^2),Magnetometer (uTesla),Gyroscope (radians/s)20190523-083342,(-0.002,-0.651,10.093),(55.100,-1.800,-17.600),(-0.883,2.688,0.281)
20190523-083342,(-0.010,-0.656,10.098),(56.300,-1.800,-17.600),(-0.773,2.562,-0.102)
20190523-083342,(0.010,-0.680,10.095),(56.100,-1.600,-17.500),(-1.359,2.422,-0.047)
20190523-083342,(0.007,-0.665,10.134),(56.100,-2.000,-18.100),(-0.977,2.836,0.133)
20190523-083342,(0.012,-0.675,10.091),(56.900,-1.800,-17.400),(-0.844,2.633,-0.188)
20190523-083342,(0.005,-0.680,10.146),(55.700,-1.300,-18.500),(-0.703,2.672,0.031)
20190523-083342,(0.010,-0.672,10.083),(55.600,-1.900,-19.200),(-0.781,2.625,0.109)
20190523-083342,(0.002,-0.646,10.105),(54.800,-1.600,-19.400),(-1.336,2.547,-0.148)
20190523-083343,(0.000,-0.672,10.146),(55.600,-0.200,-17.200),(-0.766,2.695,-0.055)
20190523-083343,(-0.012,-0.682,10.079),(56.000,-0.400,-17.200),(-1.312,2.766,-0.070)
20190523-083343,(-0.012,-0.677,10.105),(55.400,-0.700,-18.100),(-1.047,2.719,-0.500)
20190523-083343,(-0.014,-0.660,10.126),(55.800,-1.100,-18.400),(-0.898,2.734,-0.164)
20190523-083343,(-0.005,-0.672,10.095),(55.400,-2.000,-16.200),(-1.055,3.047,0.148)
20190523-083343,(0.002,-0.665,10.100),(55.900,-1.000,-18.400),(-0.898,2.688,0.078)
20190523-083343,(-0.017,-0.668,10.165),(55.400,-2.100,-17.500),(-0.969,2.797,-0.008)
20190523-083343,(0.000,-0.658,10.081),(56.300,-1.500,-18.300),(-0.922,2.766,-0.164)
20190523-083343,(0.010,-0.670,10.105),(55.900,-1.300,-18.700),(-0.477,2.742,-0.055)
20190523-083344,(-0.002,-0.672,10.136),(56.600,-1.300,-17.100),(-0.594,2.734,0.188)
20190523-083344,(0.005,-0.660,10.086),(55.800,-0.600,-18.400),(-1.094,2.641,0.039)
20190523-083344,(0.014,-0.665,10.074),(55.500,-1.400,-17.700),(-0.703,2.711,0.125)
20190523-083344,(-0.002,-0.663,10.148),(56.200,-1.600,-17.800),(-0.781,2.586,-0.078)
20190523-083344,(0.019,-0.677,10.119),(55.600,-0.800,-18.100),(-0.805,2.547,-0.203)
20190523-083344,(-0.005,-0.665,10.074),(54.900,-0.800,-18.000),(-0.875,2.336,-0.008)
20190523-083344,(0.005,-0.663,10.143),(55.500,-1.100,-17.900),(-1.070,2.742,-0.141)
20190523-083344,(0.002,-0.675,10.100),(54.200,-1.200,-17.800),(-1.359,2.891,-0.141)
20190523-083344,(-0.002,-0.672,10.148),(56.400,-1.800,-17.300),(-1.016,2.547,-0.258)
20190523-083345,(0.014,-0.665,10.071),(56.500,-1.100,-16.500),(-0.883,2.727,0.234)
20190523-083345,(0.000,-0.675,10.102),(56.000,-1.000,-18.700),(-0.875,2.594,-0.094)
20190523-083345,(0.002,-0.656,10.138),(55.700,-0.600,-18.300),(-0.461,3.164,-0.023)
20190523-083345,(0.002,-0.670,10.098),(55.400,-1.100,-18.700),(-0.758,2.758,0.055)
20190523-083345,(0.000,-0.680,10.093),(55.100,-1.200,-18.500),(-0.867,2.867,-0.141)
20190523-083345,(-0.002,-0.670,10.138),(56.500,-2.100,-18.200),(-0.750,2.969,-0.125)
20190523-083345,(-0.002,-0.656,10.102),(55.600,-1.800,-16.500),(-1.047,2.883,-0.250)
20190523-083345,(0.005,-0.665,10.083),(55.700,-1.800,-17.200),(-0.922,2.672,-0.188)
20190523-083345,(-0.014,-0.660,10.169),(55.100,-1.400,-17.800),(-0.828,2.953,-0.070)
20190523-083346,(0.007,-0.660,10.110),(56.100,-1.600,-17.600),(-0.750,2.695,-0.078)
20190523-083346,(0.005,-0.658,10.086),(56.100,-1.600,-17.600),(-1.016,2.539,-0.023)
20190523-083346,(-0.002,-0.656,10.141),(55.800,-1.000,-18.300),(-1.117,2.562,0.016)
20190523-083346,(0.007,-0.653,10.143),(55.100,-1.500,-17.300),(-1.070,2.562,0.125)
20190523-083346,(0.000,-0.670,10.062),(55.600,-1.300,-17.500),(-0.805,2.797,-0.047)
20190523-083346,(-0.002,-0.656,10.146),(55.900,-0.900,-17.300),(-1.062,2.797,-0.117)
20190523-083346,(0.010,-0.660,10.119),(56.800,-1.700,-16.300),(-0.828,2.750,0.055)
20190523-083346,(0.000,-0.660,10.146),(56.700,-1.700,-16.600),(-1.117,2.867,-0.164)
20190523-083346,(0.005,-0.665,10.088),(56.000,-1.700,-16.800),(-1.125,2.789,0.195)
20190523-083347,(0.014,-0.653,10.126),(55.500,-0.900,-17.700),(-0.578,2.766,-0.359)
20190523-083347,(0.005,-0.682,10.069),(55.700,-1.900,-17.700),(-0.633,2.703,0.172)
20190523-083347,(0.005,-0.670,10.074),(55.700,-1.200,-17.500),(-1.047,2.477,-0.070)
20190523-083347,(-0.005,-0.670,10.138),(55.800,-0.300,-16.900),(-0.828,2.508,-0.148)
